ID,Area,Perimetro,Solidez,Convexidad,Extension_Caja,Extension_Circulo,Elongacion,Excentricidad,Relacion_Radios,Rizo_Aprox
2,173127.5,1790.4722082614899,0.9832906891880763,1.1348202533411922,0.8391375365943504,0.7335617558599268,1.0527632275124592,0.3126111035049534,0.7083339,0.617914173251047
3,347200.0,4672.654209494591,0.8544211124700695,1.8709379199155547,0.7428454059975352,0.5077051927587529,1.61569410776102,0.7854469083149835,0.47557876,0.370999759696469
4,156977.0,3684.914093017578,0.8592580834095102,2.3861979662671917,0.6652385250729963,0.7177847685092749,1.2163643685964627,0.5693112435173135,0.6878401,0.27179671522994747
5,389229.0,8898.106526613235,0.7359759936921043,3.166164147453955,0.6347784393637684,0.4126074434945734,2.1458396475017736,0.8847752147355886,0.43905577,0.25069191326690143
6,279330.0,3273.8947660923004,0.9533333219569049,1.6927908457657126,0.7381246829020801,0.8400467716501365,1.1866399081287717,0.5383589543927112,0.75176185,0.3960662800523581
7,223409.0,1926.8123899698257,0.9777263308074232,1.1234939444340164,0.7467277661907054,0.8806469838317088,1.0886930082905109,0.3953452866207879,0.8690621,0.5823201118521371
8,255143.0,2228.400267601013,0.9593699532052258,1.202119039855523,0.7125983812135871,0.8477795398129642,1.0474582474173033,0.297595701923124,0.8249886,0.5280472726116339
9,47039.0,1209.2934992313385,0.9120062042557316,1.2048343301338227,0.6053925353925353,0.3408174572314229,1.050600487806158,0.3066057405609236,0.38167772,0.6669754632019054
10,205599.5,2492.9271684885025,0.9521360594623383,1.5009123929760653,0.7133917418459403,0.8643520825018315,1.0487398019684464,0.3013127657079148,0.8331567,0.4222797439857217
11,235526.0,2779.9982364177704,0.8911093749113246,1.4658719543666343,0.7173562780781239,0.6550934787694547,1.1833389492984774,0.5346613502023145,0.7169651,0.44673248747957783
12,220743.0,2143.890596151352,0.9624847937840914,1.2513821108883723,0.7313245428041346,0.8783467772029055,1.0889051817788404,0.3957608555894144,0.8539608,0.5184212088468545
13,127424.5,4576.425843238831,0.7335705177470935,2.975634908018622,0.5734624350815924,0.5803486340299779,1.1814357709632242,0.5325036100097228,0.57117593,0.20805118032154132
14,104869.0,2314.126091480255,0.7834200529655873,1.6610953474755779,0.5606648702978978,0.5438796067102906,1.7263005873572232,0.8151333235776883,0.53120106,0.5039265848548404
15,191839.5,2176.5596396923065,0.9495524212808398,1.344330315663504,0.6780601857742715,0.821975863631687,1.0701833126445446,0.3561747749090943,0.78851134,0.4732660001681867
16,245224.5,3446.563807487488,0.8507251429731122,1.6775639796040867,0.639004846779237,0.49269162740322947,1.5042769745481153,0.7470470266652952,0.5916053,0.4138695982986827
17,236999.5,3422.7059457302094,0.859371062340794,1.7590657823699616,0.6990145938038271,0.5860155211336504,1.141032336099551,0.48158506597057943,0.6824802,0.3618154638723789
